n.clusters,loss
1,251874.445926
2,220081.109887409
3,206582.785289631
4,191547.436924866
5,183921.934910334
6,177469.308444533
7,172366.442591489
8,168148.255674257
9,163237.815162243
10,159715.824860733
11,157559.071696372
12,155841.41122252
13,152823.298264821
14,150780.561025007
15,149098.159878245
16,146715.021281413
17,144452.782458787
18,143112.246646275
19,141584.104878841
20,140127.094206434
21,138802.848131608
22,137131.159159979
23,136150.950327027
24,134552.554553922
25,133679.152751702
26,132824.040551302
27,132158.991023345
28,131106.409084592
29,129946.900008658
30,129499.27587557
31,128592.550742557
32,127683.648416845
33,127023.187468763
34,126166.009829014
35,125490.327561929
36,124792.42786468
37,123512.849682695
38,122833.74851391
39,122047.703066406
40,121289.434422208
41,121665.191593873
42,121053.898752738
43,119375.766940808
44,119039.538132874
45,118557.667403533
46,117938.767915141
47,117323.786888063
48,116733.611845868
49,116433.431364344
50,115864.598819336
51,115397.64534815
52,114961.115755935
53,114372.492760021
54,114153.025037073
55,114000.457906114
56,113608.387041545
57,113213.196805336
58,112533.931152498
59,112614.804601311
60,112253.282675496
61,111538.61427616
62,110919.103248998
63,110663.329815592
64,110415.562820715
65,109772.526553043
66,109520.128382921
67,108824.830103302
68,109023.54011344
69,108734.599509454
70,108194.573195707
71,108071.005208901
72,107748.470799132
73,107210.44276535
74,107058.90449552
75,106542.020786149
76,106414.113489335
77,105935.611296525
78,105565.622712029
79,105353.64582668
80,105333.58378501
81,105106.184396121
82,104480.025986209
83,103616.497575815
84,103260.317744868
85,103543.420964584
86,103322.712049033
87,103010.09254633
88,102324.282416718
89,101813.518597291
90,101519.16868945
91,101460.429371334
92,101123.385531195
93,100631.340536715
94,100585.827576429
95,100421.514310067
96,99933.8498774052
97,99659.8309504554
98,99504.2703463936
99,99472.1688323698
100,98831.2504158308
101,98696.0984685509
102,98414.8558619878
103,98224.1057027691
104,97792.2262474554
105,97522.9677350452
106,97352.1739233856
107,96946.7903369927
108,96747.5016611757
109,97349.7543281887
110,96930.4723769074
111,96574.0706926229
112,96266.5588445012
113,95947.1385498168
114,95679.8192570222
115,95675.0862837241
116,95308.4443409741
117,95136.5957192495
118,95158.3860754677
119,94736.9550013944
120,94333.2818401871
121,94426.5388604418
122,94074.6489204099
123,94184.4758437497
124,93702.1356699804
125,93484.0917794616
126,93492.7827221295
127,93099.2771113337
128,92748.874698946
129,92683.3358109396
130,92515.5348847707
131,92490.3579925403
132,92175.7177642382
133,92152.8799683041
134,91853.5922524061
135,91590.9479183575
136,91317.1477516028
137,91161.1675543625
138,90834.3997647791
139,90862.6784745049
140,90793.9595044602
141,90877.5387875477
142,90576.4524866613
143,90687.7726437204
144,90343.7380008623
145,90177.0094179717
146,89813.8901885613
147,89766.8192227034
148,89687.7210955895
149,89404.963572214
150,89215.451868737
151,88849.6874340033
152,88796.0115594894
153,88686.7604821856
154,88298.5218357791
155,88108.0442444985
156,87686.5853671182
157,87696.326953715
158,87510.1501693763
159,87084.7825842332
160,87049.3611096611
161,86770.2435029929
162,86674.1516587777
163,86454.9367860095
164,86015.8332669892
165,85900.5136054586
166,85973.3886505799
167,85957.0287246852
168,85664.3082181036
169,85457.5159458045
170,85072.8179906191
171,85049.8188439425
172,84954.2045684842
173,85036.5133171831
174,84537.3824206438
175,84645.0407739626
176,84414.6223775722
177,84356.4604239153
178,84240.8986804649
179,83913.5909889526
180,83891.2613499344
181,83391.1221564266
182,83187.090928563
183,83201.8062564925
184,82987.6345428198
185,82687.638064778
186,82725.6028981075
187,82782.4380173381
188,82643.110005325
189,82364.1253562043
190,82319.2282501414
191,82383.5115416913
192,82061.0833410606
193,81948.0369725931
194,81555.625282954
195,81530.850018915
196,81209.9339354692
197,81116.1747939596
198,80920.3788278738
199,80789.8385762847
200,80555.517904995
